ID,CODAREA,DISTRITO,RECNUM,MOR_DOM,RENDA,CB,ENERGIA,XCENTR,YCENTR
335,3550308999357,355030846,357,3.62318,1124.06,10.93863,209.79979,323519,7382670
336,3550308999359,355030843,359,3.61125,1072.58,11.41847,213.59831,321149,7380000
337,3550308999360,355030843,360,3.81623,950.57,10.68465,218.81134,320322,7378950
338,3550308999361,355030846,361,3.71363,1324.86,12.00661,192.00877,321655,7383300
339,3550308999363,355030846,363,3.73514,897.04,10.78914,168.40612,321079,7382440
340,3550308999364,355030819,364,3.53995,1989.76,13.74516,254.76913,320507,7382810
341,3550308999367,355030817,367,3.64208,1036.25,11.24407,210.95517,321378,7384880
342,3550308999369,355030817,369,3.64243,1634.95,12.27079,232.20996,321029,7386390
343,3550308999370,355030817,370,3.61695,1609.72,12.86562,256.65201,319680,7385730
344,3550308999371,355030817,371,3.69783,1310.54,12.15260,217.21020,320368,7384920
345,3550308999372,355030817,372,3.75302,1010.94,10.88140,219.01961,318028,7384170
346,3550308999373,355030817,373,3.72264,1276.52,11.69362,233.79712,319217,7384520
347,3550308999374,355030817,374,3.58371,1165.71,11.91979,211.69535,319221,7383750
348,3550308999375,355030865,375,3.59369,1603.25,12.92325,245.08472,319064,7389350
349,3550308999376,355030865,376,3.74567,1367.75,11.81495,258.57248,316491,7388670
350,3550308999377,355030865,377,3.77399,1365.70,11.76263,239.17260,317570,7389690
351,3550308999378,355030865,378,3.57365,1300.96,11.98805,235.63747,316951,7390730
352,3550308999379,355030803,379,3.78488,952.92,11.03255,211.17246,316658,7408470
353,3550308999380,355030861,380,3.71924,1140.13,11.54505,221.77183,319391,7410440
354,3550308999381,355030861,381,3.70682,1040.02,11.36483,201.40054,322764,7410690
355,3550308999382,355030861,382,3.65204,1010.23,11.19429,208.59082,321958,7410140
356,3550308999383,355030861,383,4.00690,637.90,9.20624,140.97653,321037,7408890
357,3550308999384,355030844,384,3.73285,1016.11,11.36635,242.10173,355390,7403090
358,3550308999385,355030844,385,3.86496,728.36,9.98822,217.58242,356329,7402180
359,3550308999386,355030844,386,3.73034,932.77,10.78229,234.12983,354904,7402000
360,3550308999387,355030844,387,3.70130,941.07,10.50020,223.56922,353708,7402580
361,3550308999388,355030844,388,3.87559,708.40,9.94870,206.34192,358064,7402470
362,3550308999389,355030884,389,3.61432,1332.90,12.14991,257.47420,354232,7400340
363,3550308999390,355030884,390,3.65712,971.34,11.06876,228.05241,355903,7400630
364,3550308999391,355030884,391,3.80703,788.88,10.35916,218.88304,356212,7399550
365,3550308999392,355030836,392,3.69004,1203.56,11.67638,242.38197,356974,7400070
366,3550308999393,355030836,393,3.74886,1052.34,10.90389,236.87900,357824,7399660
367,3550308999394,355030836,394,3.91658,858.60,10.84900,211.66638,358711,7401380
368,3550308999395,355030836,395,3.91000,800.86,10.62046,200.75379,359652,7400930
369,3550308999396,355030836,396,3.80831,808.54,10.42384,210.57191,358626,7400070
370,3550308999397,355030884,397,3.82633,832.31,10.58026,214.22830,355573,7398480
371,3550308999398,355030884,398,3.91356,650.24,9.96799,188.93432,356888,7397860
372,3550308999399,355030884,399,3.83467,1020.57,11.19329,216.62354,354510,7398500
373,3550308999400,355030836,400,3.94714,719.67,10.10436,202.95049,358926,7398930
374,3550308999401,355030836,401,3.89914,695.43,10.10610,184.79348,360025,7399810
375,3550308999402,355030836,402,3.90029,766.88,10.37860,206.72535,357426,7398530
